type,자치구,법정동,지번주소,월세(만원),보증금(만원),관리비(만원),면적,층수,위도,경도,주실 방향,주차,난방시설,엘리베이터,생활시설,안전시설,법정동_정제,행정동,행정동_정제
원룸,서울 강서구,화곡동 1114-26,서울 강서구 화곡동 1114-26,30,5000,0.0,17.5m²,2층,37.55432924,126.8537859,동,있음,개별난방,없음,"벽걸이형, 냉장고, 세탁기, 싱크대, 인덕션, 무인택배함","화재경보기, 인터폰, CCTV, 현관보안",화곡동,화곡6동,서울특별시 강서구 화곡6동
원룸,서울 동대문구,이문동 264-258,서울 동대문구 이문동 264-258,60,1000,6.0,19m²,5층,37.59893739,127.0558469,동,있음,개별난방,없음,"벽걸이형, 침대, 책상, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 전자레인지","화재경보기, CCTV, 현관보안",이문동,이문1동,서울특별시 동대문구 이문1동
원룸,서울 노원구,공릉동 517-48,서울 노원구 공릉동 517-48,84,1000,6.0,30m²,4층,37.62317359,127.0752285,남동,있음,개별난방,있음,"천장형, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션, 무인택배함","화재경보기, 비디오폰, 카드키, CCTV, 현관보안",공릉동,공릉1동,서울특별시 노원구 공릉1동
원룸,서울 영등포구,신길동 470-4,서울 영등포구 신길동 470-4,47,3000,8.0,21m²,2층,37.51039725,126.9220384,북동,있음,개별난방,있음,"천장형, 신발장, 냉장고, 세탁기, 싱크대, 인덕션, 테라스","CCTV, 현관보안",신길동,신길1동,서울특별시 영등포구 신길1동
원룸,서울 서대문구,홍은동 366-21,서울 서대문구 홍은동 366-21,19,7000,7.0,16.21m²,3층,37.58272459,126.9262771,북서,있음,개별난방,없음,"벽걸이형, 책상, 옷장, 신발장, 냉장고, 세탁기, 싱크대, 인덕션","화재경보기, 비디오폰, CCTV, 현관보안",홍은동,홍은2동,서울특별시 서대문구 홍은2동
원룸,서울 영등포구,당산동1가 158-19,서울 영등포구 당산동1가 158-19,47,1000,8.0,18.6m²,4층,37.52160113,126.9008753,남,있음,개별난방,있음,"천장형, 냉장고, 세탁기, 싱크대, 인덕션, 전자레인지, 붙박이장","화재경보기, 인터폰, CCTV, 현관보안",당산동,당산1동,서울특별시 영등포구 당산1동
원룸,서울 금천구,시흥동 823-4,서울 금천구 시흥동 823-4,33,200,7.0,16.52m²,1층,37.45396089,126.9079286,남동,있음,개별난방,없음,"벽걸이형, 옷장, 냉장고, 세탁기, 싱크대, 가스레인지, 인덕션",CCTV,시흥동,시흥4동,서울특별시 금천구 시흥4동
투룸,서울 광진구,중곡동 620-16,서울 광진구 중곡동 620-16,100,2000,3.0,43m²,3층,37.56038536,127.0778684,서,있음,개별난방,없음,"벽걸이형, 신발장, 싱크대, 가스레인지, 베란다","비디오폰, CCTV, 현관보안",중곡동,중곡1동,서울특별시 광진구 중곡1동
원룸,서울 동대문구,용두동 740-16,서울 동대문구 용두동 740-16,65,1000,10.0,19.83m²,4층,37.58126787,127.0293144,서,있음,개별난방,있음,"벽걸이형, 침대, 책상, 옷장, 신발장, 냉장고, 세탁기, 인덕션, 전자레인지, TV","인터폰, 카드키, CCTV, 현관보안",용두동,용신동,서울특별시 동대문구 용신동
원룸,서울 중랑구,묵동 108-3,서울 중랑구 묵동 108-3,35,3500,5.0,19.83m²,4층,37.6150463,127.0805917,북,있음,개별난방,있음,"벽걸이형, 침대, 책상, 옷장, 신발장, 냉장고, 세탁기, 인덕션, 전자레인지, TV, 붙박이장, 베란다","화재경보기, 경비원, CCTV, 현관보안, 방범창",묵동,묵1동,서울특별시 중랑구 묵1동
투룸,서울 송파구,방이동 180-15,서울 송파구 방이동 180-15,83,10000,10.0,51.44m²,3층,37.51541771,127.1159701,남,있음,개별난방,없음,"신발장, 싱크대, 베란다",현관보안,방이동,방이2동,서울특별시 송파구 방이2동
