지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 종로구 숭인동 200-6 지하1층,"서울특별시 종로구 종로 394, 지하1층 (숭인동, 태정빌딩)",3115,임팩트 스크린골프,127.021231742606,37.5744773677925
"서울특별시 관악구 신림동 1422-15 지하, 2, 3, 4층","서울특별시 관악구 남부순환로 1629, 나동 지,2,3,4층 (신림동)",151-890,양지실외골프연습장,126.931555108417,37.4847618598427
서울특별시 송파구 송파동 97-43 지하1층,"서울특별시 송파구 송파대로38길 5, 지하1층 (송파동)",5676,나이스골프연습장,127.112254235418,37.5009237750551
서울특별시 송파구 잠실동 101-8번지,"서울특별시 송파구 올림픽로4길 32 (잠실동, 꿈밭유치원)",5571,온그린골프아카데미,127.074217420263,37.5078699120701
서울특별시 송파구 삼전동 38-27번지,서울특별시 송파구 삼전로2길 1 (삼전동),5594,비전골프연습장,,
서울특별시 송파구 방이동 208-6번지 지하1층,"서울특별시 송파구 위례성대로18길 32, 지하1층 (방이동)",5639,골프사랑,127.124724557892,37.5095632553432
서울특별시 종로구 내수동 95 경희궁 파크팰리스,"서울특별시 종로구 사직로8길 20, 지하1층 110호 (내수동, 경희궁 파크팰리스)",3174,큐이디골프아카데미 광화문점,126.970592334119,37.5739303322063
서울특별시 종로구 창신동 328-18 시즌,"서울특별시 종로구 지봉로 19, 시즌 12층 (창신동)",3121,(주)GDR플러스아카데미 동묘점,127.01520169992,37.5717392736923
서울특별시 종로구 원남동 66-21번지,서울특별시 종로구 창경궁로 136 (원남동),3127,보령헬스피아,126.997984208392,37.5745106144721
서울특별시 종로구 경운동 91-1 서원빌딩,"서울특별시 종로구 삼일대로 469, 지하2층 (경운동)",3147,안국골프아카데미,126.986008212044,37.5763035025319
서울특별시 종로구 창신동 222-8번지 종로구민회관 지하1층,서울특별시 종로구 지봉로5길 7-5 (창신동),3104,종로골프죤,127.01436607091,37.5735002829862
서울특별시 종로구 평창동 158-1번지 글로리아타운,"서울특별시 종로구 평창문화로 75, 글로리아타운 203~204호 (평창동)",3009,로얄EMS.PT,126.96900620111,37.606862635259
서울특별시 종로구 평창동 274-9번지,서울특별시 종로구 평창문화로 28-3 (평창동),3011,올림픽골프연습장,126.964997395876,37.6043154970334
서울특별시 종로구 인의동 28-36번지 재림빌딩 지하1층,"서울특별시 종로구 창경궁로 112-11, 지하1층 (인의동, 재림빌딩)",3130,재림스크린골프,126.998462414327,37.572573122286
서울특별시 종로구 무악동 63-9번지 복합상가 지하1층,서울특별시 종로구 통일로 266 (무악동),3030,세란골프클럽,126.956783269179,37.5758473655224
서울특별시 종로구 사직동 9 광화문풍림스페이스본,"서울특별시 종로구 사직로8길 4, 301동 지하2층 (사직동, 광화문풍림스페이스본)",3168,스페이스본 스크린골프,126.968429762772,37.5746716527447
서울특별시 종로구 사직동 9 광화문풍림스페이스본,"서울특별시 종로구 사직로8길 4, 301동 지하2층 (사직동, 광화문풍림스페이스본)",3168,스페이스본 골프연습장,126.968429762772,37.5746716527447
서울특별시 종로구 연건동 195-10번지 이화에수풀 지하1층,"서울특별시 종로구 대학로 47, 지하1층 (연건동)",3127,대학로스크린골프,127.0018417101,37.5754639597614
서울특별시 종로구 신영동 218-5번지,"서울특별시 종로구 세검정로7길 19, 지하1층 (신영동)",3014,제이닥터골프,126.960639942368,37.6026631497333
서울특별시 종로구 관철동 155 종로1번가오피스텔,"서울특별시 종로구 청계천로 67, 지하2층 (관철동)",3189,빌드업 골프연습장 아카데미,126.98510847461,37.5688363061533
서울특별시 종로구 내수동 72 경희궁의아침 3단지,"서울특별시 종로구 사직로8길 34, B2층 (내수동)",3174,주-스포짐,126.9724255294,37.5735877659071
서울특별시 종로구 신영동 254,서울특별시 종로구 진흥로 480 (신영동),3013,MAX실내골프연습장,126.960276209248,37.6058401893334
서울특별시 종로구 관철동 155 종로1번가 지하1층,"서울특별시 종로구 청계천로 67, 지하1층 (관철동, 종로1번가오피스텔)",3189,종각 스크린골프,126.98510847461,37.5688363061533
서울특별시 종로구 숭인동 1388번지 동양파라빌,"서울특별시 종로구 난계로 251, 지하1층 (숭인동)",3116,제이휘트니스,127.02280794747,37.5740345051674
서울특별시 종로구 구기동 67-19번지 지상3층,서울특별시 종로구 진흥로 461 (구기동),3007,구기스크린골프연습장,126.959553747038,37.6069647396025
서울특별시 중구 초동 72-10,"서울특별시 중구 마른내로 28, 나인트리프리미어호텔 지하1층층 (초동)",4555,골프인 을지로점,126.990819757756,37.5643370443986
서울특별시 중구 신당동 844번지 남산타운,"서울특별시 중구 다산로 32, 201-2호 (신당동, 남산타운)",4595,스크린골프 남산타운,,
서울특별시 중구 오장동 127-1번지 센트마상가,"서울특별시 중구 동호로33길 24, 센트마상가 5층 (오장동)",4547,중부골프 앤 헬스,127.000858310647,37.5656530328224
서울특별시 중구 충정로1가 58-3 청양빌딩,"서울특별시 중구 새문안로 26, 청양빌딩 (충정로1가)",4516,정동스크린골프,126.968777453129,37.5675120768212
서울특별시 중구 명동2가 31-1번지,,,(주)이아스피스 명동센터,,
서울특별시 중구 순화동 산 1-170번지 ACE타워지하1층,,,웰리스 휘트니스,,
서울특별시 중구 회현동1가 204번지 메사빌딩 13층 1302호,,,메사 휘트니스 케어&골프,,
서울특별시 중구 을지로5가 39-1번지 삼성파크빌 지하2층,,,올포원 휘트니스,,
서울특별시 중구 명동2가 31-1번지 20층,,,휴레스트 웰빙클럽,,
서울특별시 중구 만리동2가 6-1번지,,,손기정문화체육센터,,
서울특별시 중구 순화동 151번지 포스코 더 지하1층,,,라온스파,,
서울특별시 중구 충무로3가 43번지,,,PGA스포렉스,,
서울특별시 중구 신당동 842번지,,,비전스크린 골프,,
서울특별시 중구 황학동 2523,서울특별시 중구 퇴계로 447 (황학동),4575,더 현 스크린골프,127.021721835241,37.5660419798503
서울특별시 중구 흥인동 3-1번지 우일프라자 601호,서울특별시 중구 마장로 62 (흥인동),4570,우일스크린 골프연습장,127.016640695817,37.5677716362768
서울특별시 중구 신당동 251-71번지,,,충무스크린골프,,
서울특별시 중구 주교동 140-12번지,,,88스크린골프,,
서울특별시 중구 광희동2가 360,,,조이 스크린골프,,
서울특별시 중구 남창동 1-1 지하1층,,,(주)포사이버 새로나스크린골프 사업부,,
