지번주소,도로명주소,사업자명,경도,위도
서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,서울특별시 종로구 종로 347 (숭인동),홈플러스 익스프레스 숭인점,127.016000015149,37.5740562569508
서울특별시 종로구 신문로1가 24번지  고려빌딩 1층,"서울특별시  새문안로 91, 1층 (고려빌딩)",홈플러스 익스프레스 광화문점,126.974761002545,37.5704876038354
,서울특별시 중구 다산로 222 (신당동),홈플러스익스프레스 신당점,127.015591399432,37.5628525208577
서울특별시 성동구 왕십리2동 966번지 11호,서울특별시 성동구 왕십리로 333 (하왕십리동),홈플러스  익스프레스 왕십리점,127.032571064368,37.562723999259
서울특별시 성동구 금호동3가 1331번지,서울특별시 성동구 동호로 100 (금호동3가),홈플러스  익프스레스 금호2점,127.016416476579,37.5513284722706
서울특별시 성동구 금호동1가 481번지 5호,서울특별시 성동구 행당로 6 (금호동1가),홈플러스  익스프레스 금호점,127.020746218188,37.5544764185936
서울특별시 광진구 중곡4동 93번지 2호,서울특별시 광진구 용마산로 10 (중곡동),홈플러스익스프레스 중곡2점,127.088841013335,37.5545352784401
서울특별시 광진구 중곡2동 157번지 1호,서울특별시 광진구 능동로 314 (중곡동),홈플러스 익스프레스 중곡점,127.080039873331,37.5576188388403
서울특별시 광진구 구의3동 212번지 2호,서울특별시 광진구 아차산로 473 (구의동),홈플러스익스프레스 구의2점,127.094283451142,37.5405187287016
서울특별시 동대문구 용두동 33번지 1호,서울특별시 동대문구 천호대로 133 (용두동),홈플러스  동대문점,127.03876781084,37.5745483247197
,서울특별시 동대문구 경희대로 20 (회기동),홈플러스 익스프레스 서울회기점,127.052916011546,37.5933617852346
서울특별시 중랑구 중화2동 314번지 1호,서울특별시 중랑구 동일로129길 35 (중화동),홈플러스  익스프레스 태릉점,127.077554696692,37.5992703826018
서울특별시 중랑구 면목3.8동 499번지 4호,서울특별시 중랑구 면목로 357 (면목동),홈플러스 익스프레스 면목점,127.08813658984,37.5839916838426
서울특별시 중랑구 망우3동 410번지 1호,서울특별시 중랑구 용마산로 494 (망우동),홈플러스 익스프레스 망우점,127.100268095195,37.5949757275537
서울특별시 중랑구 신내2동 645번지,서울특별시 중랑구 신내로 201 (신내동),홈플러스 신내점,127.093597352593,37.6159839060513
서울특별시 중랑구 면목동 168번지 2호,서울특별시 중랑구 사가정로 332 (면목동),홈플러스 면목점,127.08038084565,37.5811863912514
서울특별시 중랑구 상봉1동 500번지,"서울특별시 망우로 353-0 (상봉동, 프레미어스 엠코)",홈플러스  서울 상봉점,127.091624142481,37.5983328190955
서울특별시 성북구 보문동7가 25번지 1호,서울특별시 성북구 보문로 61 (보문동7가),홈플러스익스프레스 보문점,127.021439462939,37.5807751898586
서울특별시 성북구 길음동 1285번지 두산아파트상가,서울특별시 성북구 길음로13길 22 (길음동),홈플러스익스프레스 길음점,127.019141594884,37.6094680215088
서울특별시 성북구 하월곡동 46-73 코업스타클래스,"서울특별시 성북구 화랑로 76, 코업스타클래스 (하월곡동)",홈플러스 월곡점,127.040579524379,37.6017059749991
서울특별시 성북구 삼선동1가 21,서울특별시 성북구 삼선교로 6 (삼선동1가),홈플러스익스프레스 삼선점,127.006593740013,37.5879301180095
,서울특별시 강북구 도봉로 172 (미아동),홈플러스 익스프레스미아점,127.027361963445,37.6242206246421
서울특별시 도봉구 방학동 707번지 7호,서울특별시 도봉구 도봉로 678 (방학동),홈플러스 방학점,127.04368647954,37.6648108932287
서울특별시 노원구 공릉동 323번지 35호,서울특별시 노원구 동일로 1101 (공릉동),홈플러스 익스프레스 공릉점,127.071009933961,37.6282542576144
서울특별시 노원구 중계동 509번지 2호,서울특별시 노원구 동일로204가길 12 (중계동),홈플러스  중계점,127.068668049616,37.6398580838556
서울특별시 노원구 중계동 360번지 2호,서울특별시 노원구 중계로 225 (중계동),홈플러스 익스프레스 중계점,127.074984978156,37.6503840349218
서울특별시 은평구 신사1동 20번지 7호,서울특별시 은평구 갈현로 10 (신사동),홈플러스 익스프레스 신사점,126.910344025472,37.5988263616354
서울특별시 은평구 갈현2동 527번지 13호,서울특별시 은평구 서오릉로 222 (갈현동),홈플러스 익스프레스 갈현점,126.909692686912,37.61502187175
서울특별시 은평구 구산동 1번지 24호,서울특별시 은평구 서오릉로 145 (구산동),홈플러스 익스프레스구산점,126.916477274153,37.611286414672
서울특별시 은평구 응암3동 124번지 17호,서울특별시 은평구 응암로 247 (응암동),홈플러스 익스프레스응암점,126.917854566217,37.5942237088269
서울특별시 은평구 불광1동 239번지 9호,서울특별시 은평구 불광로 121 (불광동),홈플러스 익스프레스 불광점,126.932886145151,37.61763903504
서울특별시 서대문구 북가좌동 279번지 11호,서울특별시 서대문구 응암로 112 (북가좌동),홈플러스  익스프레스 북가좌점,126.913589367782,37.5824489279945
서울특별시 마포구 연남동 573번지 코오롱아파트,"서울특별시 마포구 연남로 30 (연남동, 코오롱하늘채아파트)",홈플러스익스프레스 연남점,126.921856968358,37.5627107408645
서울특별시 마포구 서교동 490번지 1호,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",홈플러스 합정점,126.91395024016,37.5515008030203
서울특별시 마포구 성산동 515호 월드컵경기장내,"서울특별시 마포구 월드컵로 240 (성산동,월드컵경기장내)",홈플러스 월드컵점,126.897273034482,37.5682884450841
,서울특별시 마포구 토정로 282 (용강동),홈플러스익스프레스 용강점,,
서울특별시 마포구 도화동 353번지,"서울특별시 마포구 도화4길 73 (도화동, 현대홈타운)",홈플러스익스프레스 도화점,126.951132481622,37.538718127097
서울특별시 양천구 목3동 657번지 21호,서울특별시 양천구 등촌로 172 (목동),홈플러스 익스프레스 목동2점,126.862607834028,37.5451346059769
서울특별시 양천구 신정7동 324번지 10호 굿모닝탑  103~108호,"서울특별시 양천구 목동동로 53, 103~108호 (신정동,굿모닝탑)",홈플러스 익스프레스 신정3점,,
서울특별시 양천구 신정3동 1183번지 12호,서울특별시 양천구 중앙로 255-1 (신정동),홈플러스 익스프레스 신정점,126.852968795835,37.5191629222655
서울특별시 양천구 신정동 86-1,서울특별시 양천구 목동동로 196(신정동),홈플러스 익스프레스 오목교점,126.87145664624,37.5229231089155
서울특별시 강서구 화곡3동 1065번지 8호,서울특별시 강서구 화곡로 153 (화곡동),홈플러스  익스프레스 화곡점,126.838750382592,37.5414945865523
서울특별시 강서구 등촌동 639번지 11호,서울특별시 강서구  화곡로  398 (등촌동),홈플러스  강서점,126.854819012937,37.5584699599397
서울특별시 강서구 가양동 18번지 24호,"서울특별시 강서구 양천로 431 (가양동, 홈플러스)",홈플러스  가양점,126.849960213917,37.5642640468035
서울특별시 강서구 화곡동 970번지 2호,서울특별시 강서구 까치산로 106 (화곡동),홈플러스익스프레스 화곡2점,126.849281947719,37.5475444670864
서울특별시 구로구 신도림동 337번지 신도림1차푸르지오,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 (신도림동)",홈플러스  신도림점,126.887986372819,37.5096619486431
서울특별시 구로구 개봉1동 156번지 18호 외 1필지 대림프라자 101호,"서울특별시 구로구 경인로 319 (개봉동,외 1필지 대림프라자 101호)",홈플러스 익스프레스 개봉점,126.855572608384,37.497650067091
"서울특별시 구로구 구로1동 650번지 4호 SK허브수 제B동 제118호,제119호,제121호~126호","서울특별시  구일로10길 27, B동 1층 (제118호,제119호,제121호~126호)",홈플러스 익스프레스 서울구로점,126.872266560677,37.4959404465654
서울특별시 구로구 오류2동 160번지  외 2필지,"서울특별시 구로구 서해안로 2293 (오류동,외 2필지)",홈플러스 익스프레스 서울오류점,126.839721489898,37.4914452994457
서울특별시 금천구 독산동 291-7 홈플러스 금천점,"서울특별시 금천구 시흥대로 391, 홈플러스 금천점 (독산동)",홈플러스  금천점,126.896885338466,37.4686638539154
서울특별시 금천구 시흥동 992-47 홈플러스테스테스코(주)시흥점,"서울특별시 금천구 시흥대로 201, 홈플러스테스테스코(주)시흥점 (시흥동)",홈플러스 주식회사,126.90079038873,37.4519790161758
서울특별시 금천구 시흥동 992번지 47호,서울특별시 금천구 시흥대로 201 (시흥동),홈플러스 시흥점,126.90079038873,37.4519790161758
,서울특별시 금천구 가산로 106 (가산동),홈플러스 익스프레스 가산점,126.893680931368,37.4754448085701
서울특별시 영등포구 문래동3가 55번지 3호,서울특별시 영등포구  당산로  42 (문래동3가),홈플러스  영등포점,126.895880210522,37.5182396969791
,서울특별시 영등포구 여의대방로 65 (신길동),홈플러스  익스프레스 신길점,126.913095882091,37.497326163309
서울특별시 영등포구 도림동 251번지 5호,서울특별시 영등포구 도신로 75 (도림동),홈플러스  익스프레스 도림점,126.90077330066,37.5067177269855
서울특별시 영등포구 신길3동 259번지 4호,서울특별시 영등포구 가마산로69가길 12 (신길동),홈플러스  익스프레스 신길3점,126.90960664156,37.5061324962321
서울특별시 영등포구 신길동 101번지 7호,서울특별시 영등포구 영등포로 364 (신길동),홈플러스  익스프레스 신길2점,126.918360951993,37.5141215891197
서울특별시 동작구 상도4동 255번지 4호,서울특별시 동작구 성대로 43 (상도동),홈플러스  익스프레스 상도점,126.93366186004,37.498975188861
서울특별시 동작구 사당3동 252번지 22호,서울특별시 동작구 사당로 215 (사당동),홈플러스  익스프레스 남성점,126.972344800972,37.4844593113614
서울특별시 동작구 대방동 341번지 2호,서울특별시 동작구 노량진로 4 (대방동),홈플러스 대방점,126.926240355701,37.5124124321853
서울특별시 동작구 상도2동 414번지,서울특별시 동작구 만양로 26 (상도동),홈플러스 익스프레스 상도2점,126.949547851693,37.5076264776599
서울특별시 동작구 상도동 530번지,서울특별시 동작구  양녕로  170 (상도동),홈플러스 익스프레스 상도3점,126.943642572569,37.4970019422426
서울특별시 관악구 중앙동 463번지 4호 메카플러스 지하1층,서울특별시 관악구 양녕로 46 (봉천동),홈플러스 익스프레스 봉천점,126.947238616678,37.4861580878937
서울특별시 관악구 남현동 산 69번지 51호,서울특별시 관악구 과천대로 909 (남현동),홈플러스 서울남현점,126.982466468514,37.4714704021418
서울특별시 강남구 도곡동 518-8 유진빌딩,"서울특별시 강남구 논현로28길 9, 유진빌딩 (도곡동)",홈플러스익스프레스 도곡2점,127.043363387843,37.4827271767229
,서울특별시 강남구 학동로 176 (논현동),홈플러스익스프레스 학동역점,127.030225147038,37.5135235215924
서울특별시 강남구 신사동 660번지 18호,서울특별시 강남구 압구정로46길 5-2 (신사동),홈플러스 익스프레스 압구정점,127.036869472402,37.5280407556239
서울특별시 송파구 잠실4동 44번지 1호,서울특별시 송파구 석촌호수로 133 (잠실동),홈플러스 익스프레스 잠실점,127.091787465447,37.5076519568451
,서울특별시 송파구 가락로28길 7 (송파동),홈플러스  익스프레스 송파점,127.116739304529,37.5063681661101
서울특별시 송파구 신천동 7번지 12  호,서울특별시 송파구 올림픽로35가길 16 (신천동),홈플러스 잠실점,127.103006473255,37.5162517087896
서울특별시 송파구 거여2동 27번지 5호 B101호,서울특별시 오금로 512,홈플러스 익스프레스 거여점,127.145547345253,37.4927296497634
서울특별시 송파구 풍납동 163번지,서울특별시 송파구  올림픽로51길  52 (풍납동),홈플러스 익스프레스 풍납점,127.116232495956,37.5339264599218
서울특별시 송파구 삼전동 9번지 제이 플레이스,"서울특별시 송파구 백제고분로 207 (삼전동, 제이 플레이스)",홈플러스 익스프레스 삼전역점,127.089795706905,37.5041183948621
서울특별시 강동구 천호동 42번지,서울특별시 강동구 양재대로 1571 (천호동),홈플러스 강동점,127.14225531407,37.5457145865749
서울특별시 강동구 암사1동 473번지 3호,서울특별시 강동구 고덕로24길 50 (암사동),홈플러스  익스프레스 암사점,127.135098750222,37.5523806454985
서울특별시 강동구 성내1동 521번지,서울특별시 강동구 풍성로 138 (성내동),홈플러스  익스프레스 성내점,127.127348186394,37.5312353306954
서울특별시 강동구 길동 391번지 2호,서울특별시 강동구 양재대로 1486 (길동),홈플러스 익스프레스 길동점,127.140544045282,37.538375386079
서울특별시 강동구 둔촌동 170-1,,하나로마트 둔촌점,,
"서울특별시 강동구 둔촌동 174-1 B102,B103호",,이마트에브리데이 둔촌점,,
서울특별시 중구 봉래동2가 122호,서울특별시 중구 청파로 426 (봉래동2가),롯데쇼핑 롯데마트 제타플렉스 서울역점,126.969512319976,37.5574468761736
서울특별시 중구 황학동 2545번지,서울특별시 중구 청계천로 400-0 (황학동),주식회사 이마트 청계천점,127.021463886656,37.5708105464699
서울특별시 성동구 행당동 168번지 1호,서울특별시 성동구 왕십리광장로 17 (행당동),이마트 왕십리점,127.038394194396,37.5614417528647
서울특별시 광진구 중곡1동 229번지 5호,서울특별시 광진구 긴고랑로11길 11 (중곡동),이마트에브리데이 중곡동점,127.081301383167,37.5639082846623
서울특별시 광진구 구의동 546번지 4호,서울특별시 광진구 광나루로56길 85 (구의동),테크노-마트21,127.095692162256,37.535725176732
서울특별시 광진구 구의동 546번지 4호,서울특별시 광진구 광나루로56길 85 (구의동),롯데쇼핑 롯데마트 강변점,127.095692162256,37.535725176732
서울특별시 광진구 자양동 227번지 7호,서울특별시 광진구 아차산로 272 (자양동),이마트 자양점,127.072996184863,37.5385582736952
서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동),롯데쇼핑 롯데마트 청량리점,127.05114503929,37.584197400389
