road_address,business_name,longitude,latitude,category
서울특별시 동대문구 고산자로54길 6,씨유제기휴플러스,127.0385291,37.5872835,편의점
서울특별시 동대문구 답십리로56길 21,씨유답십리두산행운점,127.060205,37.56931177,편의점
서울특별시 동대문구 회기로23가길 21,GS25경희의대,127.0541622,37.59224066,편의점
서울특별시 동대문구 경희대로4길 15,씨유경희대점,127.0535202,37.59248773,편의점
서울특별시 동대문구 답십리로56길 105,씨유답십리자이점,127.0595208,37.56773249,편의점
서울특별시 동대문구 천호대로 68,씨유 용두동아점,127.030967,37.57368054,편의점
서울특별시 동대문구 사가정로 148,GS25 동대문SK점,127.0604658,37.57664213,편의점
서울특별시 동대문구 제기로37길 2-1,지에스(GS)25 청량떡전교,127.0500975,37.58626157,편의점
서울특별시 동대문구 망우로18가길 47,세븐일레븐 휘경베스트,127.0607473,37.58814091,편의점
서울특별시 동대문구 답십리로 27,씨유 청량리스카이점,127.0451366,37.57885714,편의점
서울특별시 동대문구 약령시로 67,씨유제기약령시점,127.0374469,37.58301494,편의점
서울특별시 동대문구 천장산로7길 19,GS25 외대경희,127.0567997,37.59828903,편의점
서울특별시 동대문구 장한로10길 25-2,이마트24 장안미소점,127.0689286,37.5649423,편의점
서울특별시 동대문구 장한로26가길 81,이마트24 장안라보니타점,127.0702473,37.56829152,편의점
서울특별시 동대문구 회기로 14,씨유 고대어진재점,127.0379116,37.59096966,편의점
서울특별시 동대문구 왕산로33길 56,세븐일레븐 청량리시장점,127.0418681,37.58184144,편의점
서울특별시 동대문구 장한로 91,지에스(GS)25 장안썬앤빌,127.0693602,37.56918006,편의점
서울특별시 동대문구 장안벚꽃로 107,지에스25장안홈타운,127.0746062,37.56972566,편의점
서울특별시 동대문구 서울시립대로 31,세븐일레븐 전농점,127.0457038,37.57488218,편의점
서울특별시 동대문구 천장산로7길 62,이마트24경희대원룸점,127.0544774,37.59826373,편의점
서울특별시 동대문구 장한로12길 81,데이앤데이장안다우점,127.0721091,37.56451603,편의점
서울특별시 동대문구 장한로28가길 122-10,씨유장안동국점,127.0739331,37.57868233,편의점
서울특별시 동대문구 한천로 279,세븐일레븐 휘경스타점,127.0672298,37.58579463,편의점
서울특별시 동대문구 한천로39길 28,지에스(GS25)동대문배봉,127.0668404,37.57839428,편의점
서울특별시 동대문구 청계천로 443,씨유청계포레스트힐,127.0263884,37.57127167,편의점
서울특별시 동대문구 서울시립대로 88-1,씨유전농대로점,127.049934,37.57868591,편의점
서울특별시 동대문구 장안벚꽃로 167,씨유 장안래미안점,127.0753875,37.57396434,편의점
서울특별시 동대문구 청계천로 461,세븐일레븐 아이클래스청계점,127.0284491,37.57072852,편의점
서울특별시 동대문구 전농로16길 7,GS25전농사거리,127.0577865,37.57846059,편의점
서울특별시 동대문구 휘경로 24-1,씨유외대앞역점,127.0625119,37.59520259,편의점
서울특별시 동대문구 무학로23길 30,씨유 동아제약점,127.0288175,37.57263791,편의점
서울특별시 동대문구 왕산로 244,세븐일레븐 청량리전농점,127.0489483,37.58278801,편의점
서울특별시 동대문구 이문로13길 12,GS25 이문햇살,127.0577021,37.59390527,편의점
서울특별시 동대문구 장한로 91,세븐일레븐 장안썬앤빌점,127.0693602,37.56918006,편의점
