도로명주소,사업자명,H_KOR_GU,H_KOR_DONG,경도,위도
서울특별시 송파구 올림픽로 575 (풍납동 497),서울풍납동우체국,송파구,풍납1동,127.121160080336,37.5333450471847
서울특별시 양천구 목동서로 117 (목동 905-16),서울양천우체국,양천구,목5동,126.876217883995,37.5329457075933
서울특별시 양천구 신월로 386 서울남부지법청사내 (신정1동 313-1),서울남부지방법원우체국,양천구,신정1동,126.863944090436,37.5221656906619
서울특별시 양천구 목동중앙남로3가길 127 상진지오벨리 1층 (목3동 713-5),서울목3동우체국,양천구,목3동,126.863976567053,37.541223152532
서울특별시 양천구 중앙로 309 (신월동 500-24),서울신월2동우체국,양천구,신월2동,126.850871658321,37.5236136759069
서울특별시 양천구 남부순환로 364 (신월동 166-7),서울신월3동우체국,양천구,신월3동,126.828719887426,37.5346726936209
서울특별시 양천구 신월로 368 (신정동 1017-15),서울신정1동우체국,양천구,신정1동,126.861967654185,37.5218937274328
서울특별시 양천구 신정로 306 (신정동 1272),서울신정3동우체국,양천구,신정3동,126.855052135677,37.5131197678432
서울특별시 용산구 한강대로118 (한강로2가),서울용산우체국,용산구,한강로동,126.969510593878,37.5300090111487
서울특별시 용산구 이태원로 22 (용산동3가),국방부구내우체국,용산구,한강로동,,
서울특별시 용산구 두텁바위로6-1 (남영동),서울남영동우체국,용산구,원효로2동,126.972837527588,37.5450495013965
서울특별시 용산구 보광로 25 (보광동),서울보광동우체국,용산구,보광동,127.000208837482,37.5265772465655
서울특별시 용산구 청파로47길 100 (청파동2가),서울숙명여자대학교우체국,용산구,청파동,126.965074376341,37.5454740835781
서울특별시 용산구 원효로41길 47 (원효로3가),서울용문동우체국,용산구,원효로2동,126.959902486651,37.5353148381532
서울특별시 노원구 중계로 123 (중계본동),서울노원우체국,노원구,중계본동,127.080648167533,37.6462355963899
서울특별시 중구 을지로 228 (을지로5가),서울을지로6가우체국,중구,을지로동,127.003321221188,37.5664528934959
서울특별시 강북구 삼양로 229,서울삼양동우체국,강북구,삼양동,127.018365488926,37.6238726947179
서울특별시 강북구 도봉로 71,서울송천동우체국,강북구,송천동,127.029567646455,37.615495557811
서울특별시 강북구 도봉로 383,서울수유3동우체국,강북구,수유3동,127.028656913091,37.6412299378843
서울특별시 강북구 삼양로 468,서울수유동우체국,강북구,수유2동,127.015964101305,37.6449235804122
서울특별시 도봉구 도봉로 125길 88,서울쌍문2동우체국,도봉구,쌍문2동,127.037716133596,37.6563429163203
서울특별시 도봉구 노해로 309,서울창5동우체국,도봉구,창5동,127.042733678609,37.6518336801064
서울특별시 동작구 여의대방로 22길 77 (신대방동),서울동작우체국,동작구,신대방2동,126.92452122385,37.4979193093215
서울특별시 동작구 노량진로 224 (본동),서울노량진우체국,동작구,노량진1동,126.950635864714,37.5124653315282
서울특별시 동작구 동작대로 75 (사당동),서울사당동우체국,동작구,사당1동,126.981411054955,37.4833790644455
서울특별시 동작구 상도로 236 (상도동),서울상도동우체국,동작구,상도2동,126.944854274651,37.50500443725
서울특별시 동작구 서달로15길 13 (흑석동),서울흑석동우체국,동작구,흑석동,126.962386710157,37.5083844134979
서울특별시 마포구 마포대로 89,서울마포우체국,마포구,도화동,126.949796678491,37.5432404955072
서울특별시 마포구 월드컵북로 111,서울망원동우체국,마포구,성산1동,126.913407771018,37.5630917340765
서울특별시 마포구 상암산로 1길 75,서울상암디지털우체국,마포구,상암동,126.883264373144,37.5805713832531
서울특별시 마포구 양화로 62,서울서교동우체국,마포구,서교동,126.915658081507,37.5503670479941
서울특별시 마포구 마포대로 174,서울서부지방법원우체국,마포구,공덕동,126.955671069108,37.5496239016405
서울특별시 마포구 월드컵북로 227,서울성산2동우체국,마포구,성산2동,126.903526528304,37.5695679083365
서울특별시 마포구 월드컵북로 112,서울성산동우체국,마포구,성산1동,126.913936207503,37.5634075592322
서울특별시 마포구 신촌로 266,서울아현동우체국,마포구,아현동,126.955140384222,37.5570813508888
서울특별시 마포구 독막로 109,서울창전동우체국,마포구,서강동,126.925861410703,37.5482216804328
서울특별시 서초구 동산로 19,서울서초우체국,서초구,양재2동,127.041769770153,37.4701571343164
서울특별시 서초구 신반포로19길 40,서울반포우체국,서초구,반포2동,,
서울특별시 서초구 방배로 238,서울방배동우체국,서초구,방배본동,126.989794651837,37.4943861668654
서울특별시 중구 삼일대로6길 5 (충무로2가),서울충무로2가우체국,중구,명동,126.989317803382,37.5625097874148
서울특별시 중구 칠패로 42 우리빌딩 2층 (봉래동1가),서울태평로우체국,중구,회현동,126.973559809484,37.5594743747373
서울특별시 중구 퇴계로 270 (장충동2가),서울퇴계로5가우체국,중구,장충동,127.001652265803,37.5627437974069
서울특별시 중구 다산로 253 (흥인동),서울흥인동우체국,중구,신당동,127.015907779799,37.5656528652194
서울특별시 영등포구 여의나루로 60 (여의도동),여의도우체국,영등포구,여의동,126.926225192863,37.5223003029771
서울특별시 영등포구 의사당대로 1 (여의도동),국회구내우체국,영등포구,여의동,126.916403869603,37.5329119742768
서울특별시 영등포구 당산로 102 (당산동1가),서울당산동우체국,영등포구,당산1동,126.896437475848,37.5236867472414
서울특별시 영등포구 대림로85 (대림동),서울대림동우체국,영등포구,대림2동,126.904566758434,37.4896714750733
서울특별시 영등포구 도림로 429 (문래동2가),서울문래동우체국,영등포구,문래동,126.895142994928,37.5138966595177
서울특별시 영등포구 신길로65 (신길동),서울신길5동우체국,영등포구,신길5동,126.907986438919,37.4984417041914
서울특별시 영등포구 여의대방로 161 (신길동),서울신길동우체국,영등포구,신길7동,126.920566545004,37.5015920097238
서울특별시 영등포구 양평로 92 (양평동4가),서울양평동우체국,영등포구,양평2동,126.897111957747,37.5365146197268
서울특별시 영등포구 국회대로 68길 7 (여의도동),서울여의도광장우체국,영등포구,여의동,126.919493675865,37.5294636471027
