지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 강남구 역삼동 816,서울특별시 강남구 강남대로 422 (역삼동),6129.0,메가박스 씨티,127.026984908497,37.5003941401087
서울특별시 강남구 역삼동 814-6 스타플렉스 8층,"서울특별시 강남구 강남대로 438 (역삼동,스타플렉스 8층)",,CGV 강남,127.026336096148,37.5016428104731
서울특별시 강남구 도곡동 174-3,서울특별시 강남구 남부순환로 2753 (도곡동),6274.0,롯데시네마 도곡점,127.04698960023,37.4874807715334
서울특별시 강남구 신사동 603-2,서울특별시 강남구 논현로 848 (신사동),,CGV압구정,127.0288370151,37.5245744023832
서울특별시 강남구 논현동 1-3번지,서울특별시 강남구 도산대로 108  (논현동),,클래식시네마스페이스(주),127.020655869811,37.5161918332017
서울특별시 강남구 논현동 3 외2필지,"서울특별시 강남구 도산대로 116 (논현동,외2필지)",,메가박스 브로드웨이,127.021516108092,37.5166065016895
서울특별시 강남구 논현동 4-15번지,서울특별시 강남구 도산대로 128  (논현동),,씨네마강남,127.02270573272,37.5169719062298
서울특별시 강남구 논현동 91-6번지,서울특별시 강남구 도산대로 310  (논현동),,씨네하우스,127.035475775373,37.5215381083611
서울특별시 강남구 신사동 651-21번지,서울특별시 강남구 도산대로 323  (신사동),,씨네시티,127.037016265027,37.5228971585502
서울특별시 강남구 논현동 3-5 1층,"서울특별시 강남구 도산대로8길 8, 1층 (논현동)",6038.0,메가박스 브로드웨이,127.02194180264,37.5163705406376
서울특별시 강남구 신사동 532-1 지하2층,"서울특별시 강남구 압구정로10길 9, 지하2층 (신사동)",6028.0,픽처하우스,127.022023606066,37.5229874921731
서울특별시 강남구 신사동 602,"서울특별시 강남구 압구정로30길 45, 지하2층, 지하5층 (신사동)",6022.0,CGV압구정 ART,127.029403239407,37.5243502735902
서울특별시 강남구 논현동 97-26번지,서울특별시 강남구 언주로150길 14  (논현동),,씨네예술관,127.035519854036,37.5209786624562
서울특별시 강남구 삼성동 159 코엑스,"서울특별시 강남구 영동대로 513, 코엑스 지하1층 (삼성동)",6164.0,코엑스 부티크 프라이빗,127.059159043842,37.5118239121138
서울특별시 강남구 논현동 123-2번지,서울특별시 강남구 학동로 118  (논현동),,강남비디오소극장,127.023923410549,37.5116328572551
서울특별시 강남구 논현동 58-3번지,서울특별시 강남구 학동로 171  (논현동),,케이엠티브이,127.029550652058,37.5140467250769
서울특별시 강동구 고덕동 353-23,"서울특별시 강동구 고덕비즈밸리로 51, 3,4층 (고덕동)",5203.0,CGV 고덕강일점,,
서울특별시 강동구 성내동 549-1번지,서울특별시 강동구 성내로 48 (성내동),,메가박스 강동점,127.125357402766,37.5284455288195
서울특별시 강동구 천호동 42,"서울특별시 강동구 양재대로 1571, 4층 (천호동)",5314.0,CGV 천호점,127.14225531407,37.5457145865749
서울특별시 강동구 성내동 44-1번지,서울특별시 강동구 천호옛길 85 (성내동),,롯데시네마 강동점,127.125335580215,37.5366333948264
서울특별시 강북구 번동 449-1,서울특별시 강북구 도봉로 308 (번동),1062.0,롯데시네마 수유점,127.02383520999,37.6356640949861
서울특별시 강북구 미아동 35-4 트레지오 쇼핑몰 9층,"서울특별시 강북구 도봉로 34, 9층 (미아동, 트레지오빌딩)",1220.0,CGV 미아점,127.03072164571,37.6120685327599
서울특별시 강북구 수유동 168-12,"서울특별시 강북구 도봉로 399, 8층 (수유동)",1055.0,CGV 수유점,127.029806166339,37.6424075100379
서울특별시 강서구 마곡동 797-1 퀸즈파크나인,"서울특별시 강서구 공항대로 247, 4층 (마곡동, 퀸즈파크나인)",7803.0,메가박스중앙 마곡지점,126.83523920295,37.5593135416408
서울특별시 강서구 등촌동 639-23 3~9층,"서울특별시 강서구 공항대로45길 63, 3~9층 (등촌동)",7567.0,CGV 등촌점,,
"서울특별시 강서구 등촌동 73-1 4,5,6층 ","서울특별시 강서구 양천로 476, 4,5,6층 (등촌동)",7575.0,롯데시네마 가양점,,
서울특별시 강서구 방화동 886 스카이파크,"서울특별시 강서구 하늘길 38 (방화동, 스카이파크)",7505.0,롯데시네마 김포공항점,126.802960133589,37.5713695798026
"서울특별시 강서구 화곡동 1073-10 메가박스(주) 화곡점 401,501호 ","서울특별시 강서구 화곡로 142, 401,501호 (화곡동, 메가박스(주)화곡점)",7715.0,메가박스 화곡점,,
서울특별시 관악구 봉천동 862-1 12층,"서울특별시 관악구 남부순환로 1820, 12층 (봉천동, 에그엘로우)",8787.0,롯데시네마 서울대입구점,126.952083773717,37.4809479979455
서울특별시 관악구 신림동 1641-2 14층,"서울특별시 관악구 신림로 330 (신림동,14층)",,롯데시네마 신림점,126.930234545397,37.4838513393186
서울특별시 광진구 구의동 546-4 테크노마트10층,"서울특별시 광진구 광나루로56길 85, 10층 (구의동, 테크노마트)",5116.0,CGV 강변점,127.095692162256,37.535725176732
서울특별시 광진구 군자동 477-12번지,서울특별시 광진구 능동로 289 (군자동),,메가박스 군자6,127.078344497368,37.5557904109818
서울특별시 광진구 자양동 227-7 더샵스타시티,"서울특별시 광진구 아차산로 272, 더샵스타시티 (자양동)",5065.0,롯데시네마 건대입구점,127.072996184863,37.5385582736952
서울특별시 광진구 자양동 9-4 몰오브케이,"서울특별시 광진구 아차산로30길 26, 몰오브케이 4층 (자양동)",5072.0,CGV 건대입구점,127.066887730045,37.5397607621364
서울특별시 구로구 개봉동 297-2번지,서울특별시 구로구 개봉로3길 109  (개봉동),,떼아뜨르 이동영화,126.850751731056,37.4856132040052
