지번주소,도로명주소,도로명우편번호,사업자명,경도,위도
서울특별시 종로구 통의동 66 3층,"서울특별시 종로구 자하문로 18-1, 3층 (통의동)",3044,락휴코인노래연습장(경복궁점),126.972328763113,37.5778156600465
서울특별시 종로구 낙원동 146,"서울특별시 종로구 수표로 118, 지층 (낙원동)",3139,송해길 노래연습장,126.989291247381,37.571702735843
서울특별시 종로구 숭인동 1063,"서울특별시 종로구 종로 405, 2,3층 (숭인동)",3111,비투박스 코인노래연습장,,
서울특별시 종로구 낙원동 110 경한빌딩,"서울특별시 종로구 돈화문로11길 38, 경한빌딩 2층 (낙원동)",3133,세븐틴코인노래연습장 종로3가점,126.989314540628,37.5726737403515
서울특별시 종로구 창신동 143-18,"서울특별시 종로구 종로51나길 2, 지하1층 (창신동)",3105,차차차 노래연습장,127.012277154999,37.5726650260989
서울특별시 종로구 관철동 7-1 4층,"서울특별시 종로구 삼일대로 391, 4층 (관철동)",3190,뮤직파워노래연습장,126.987383331119,37.5694808730925
서울특별시 종로구 명륜2가 24-5번지,서울특별시 종로구 대명길 4 (명륜2가),3077,즐거운,127.001182657148,37.5838016760698
서울특별시 종로구 관수동 20번지 국일관 드림펠리스 12층,"서울특별시 종로구 수표로 96 (관수동,국일관 드림펠리스 12층)",,국일관12 노래연습장,126.99002424417,37.5697050231621
서울특별시 종로구 관철동 32-2,"서울특별시 종로구 삼일대로17길 35, 지하 1층 (관철동)",3189,썬노래연습장,126.985450378737,37.5691127742254
서울특별시 종로구 창신동 651-47번지,서울특별시 종로구 창신길 21 (창신동),,우정노래방,127.010594566773,37.5727198794876
서울특별시 종로구 구기동 85-24번지 3층,"서울특별시 종로구 진흥로 435-2  (구기동,3층)",,경복궁,126.957353525333,37.6085065493019
서울특별시 종로구 낙원동 207번지 지하1층,서울특별시 종로구 수표로 111 (낙원동),3140,차노래연습장,126.989051902985,37.5712295112157
서울특별시 종로구 구기동 125-6번지 지하1층,"서울특별시 종로구 비봉길 5, 지하1층 (구기동)",3000,유,126.956459475551,37.608938157169
서울특별시 종로구 관철동 43-7 지하1층,서울특별시 종로구 종로10길 20 (관철동),3189,힐링노래연습장,126.984301453169,37.5691420895937
서울특별시 종로구 명륜3가 127번지,"서울특별시 종로구 창경궁로29길 25, 지하1층 (명륜3가, 명륜빌딩)",3073,리코스타 코인 노래연습장,126.997420142523,37.5837539011569
서울특별시 종로구 관철동 14-3 수지빌딩,"서울특별시 종로구 삼일대로19길 18, 수지빌딩 3층 (관철동)",3190,락휴 코인노래연습장 관철점,126.986572598966,37.5696619738573
서울특별시 종로구 명륜4가 59-3번지,"서울특별시 종로구 대명길 37, 3,4층 (명륜4가)",3078,G르Go코인 노래연습장 대학로점,,
서울특별시 종로구 필운동 208번지,서울특별시 종로구 사직로 103-15  (필운동),,21세기 노래연습장,126.970223128301,37.5763461665809
서울특별시 종로구 숭인동 200-8번지 2층,"서울특별시 종로구 종로66길 10  (숭인동,2층)",,정든노래방,127.02156033066,37.5743463036051
서울특별시 종로구 관철동 19-1번지,"서울특별시 종로구 종로12길 14, 3층 (관철동, 해덕빌딩)",3189,드림코인노래연습장,126.98558580983,37.5694353472354
서울특별시 종로구 관철동 19-11번지,"서울특별시 종로구 우정국로2길 42, 지하1층 (관철동)",3189,고래고래코인노래연습장,126.985386475342,37.5694299167566
서울특별시 종로구 명륜2가 184번지,"서울특별시 종로구 대명길 40, 지하1층 (명륜2가)",3077,에코코인노래연습장,126.999321387035,37.5832119798947
서울특별시 종로구 명륜3가 10-1번지 (지하1층),"서울특별시 종로구 성균관로 49  (명륜3가,(지하1층))",,앵콜,126.996439874739,37.5870121368817
서울특별시 종로구 내자동 29-2 B 101호,"서울특별시 종로구 사직로 105, 정남빌딩 B1층 101호 (내자동)",3041,렉스코인노래연습장 경복궁점,126.970574538673,37.5762899425461
서울특별시 종로구 종로5가 138-4,"서울특별시 종로구 종로 210, 하이뷰더광장 214호 (종로5가)",3195,렉스코인노래연습장,127.001207239452,37.5706678817379
서울특별시 종로구 숭인동 219번지 (지상2층),"서울특별시 종로구 종로 370-1 (숭인동,(지상2층))",,우리,127.018666932808,37.5736156393021
서울특별시 종로구 통의동 104번지 (지하1층),"서울특별시 종로구 자하문로 32 (통의동,(지하1층))",,신명,126.971789009927,37.5789661918648
서울특별시 종로구 숭인동 1047번지,서울특별시 종로구 종로67길 4 (숭인동),,3학년3반,127.021078054811,37.5750234882066
서울특별시 종로구 이화동 97-4번지,서울특별시 종로구 율곡로 229-1 (이화동),,영광노래방,127.004548788438,37.5761145847409
서울특별시 종로구 내자동 1-3번지 (3층),"서울특별시 종로구 자하문로 3  (내자동,(3층))",,킹노래방,126.972264842484,37.5764830744797
서울특별시 종로구 관철동 12-3 3층,"서울특별시 종로구 종로14길 26 (관철동,3층)",,오렌지 노래연습장,126.986756331605,37.5689245297777
서울특별시 종로구 재동 92번지,서울특별시 종로구 북촌로 2 (재동),,재동,126.986178862502,37.577254432098
서울특별시 종로구 명륜4가 11-1번지,서울특별시 종로구 대명길 15  (명륜4가),,질러,127.000730693444,37.5833558682276
