파출소명,경도,위도
서울경찰청,126.9720616,37.57481465
경찰청,126.9675611,37.56339789
을지지구대,127.0001471,37.56306267
광희지구대,127.0134015,37.56524863
약수지구대,127.0123806,37.55213923
종로2가지구대,126.9889181,37.57049266
충정로지구대,126.9611356,37.56988042
신촌지구대,126.9430126,37.55855024
원효지구대,126.9659797,37.53879569
용중지구대,126.9784808,37.5491376
한강로지구대,126.9701823,37.52396094
돈암지구대,127.0124153,37.59732772
안암지구대,127.0165982,37.58672072
길음지구대,127.0192537,37.61060739
월곡지구대,126.8091307,35.17944506
답십리지구대,127.051052,37.57126601
용신지구대,127.0371747,37.57278487
이문지구대,127.0681111,37.59645818
서강지구대,126.929315,37.54734884
공덕지구대,126.954081,37.55179398
월드컵지구대,126.909083,37.56873187
홍익지구대,126.9133677,37.55184681
용강지구대,126.9431062,37.5425846
중앙지구대,126.9075338,37.51801522
여의도지구대,126.926689,37.52960835
문래지구대,126.8976715,37.51358857
신풍지구대,126.9127818,37.4990801
신길지구대,126.9265243,37.51295051
당산지구대,126.9012737,37.53362632
대림지구대,126.8987213,37.49342858
한양지구대,127.041809,37.56032975
성수지구대,127.0552414,37.54820401
서울숲지구대,127.0522739,37.53806371
사당지구대,126.9792929,37.48078309
노량진지구대,126.9332955,37.51112098
상도지구대,126.9362045,37.50593461
남성지구대,128.5701707,35.20320691
흑석지구대,126.9601343,37.5093509
신대방지구대,126.9059398,37.48662654
광나루지구대,127.1033347,37.544456
화양지구대,127.0713315,37.54661684
응암지구대,126.9264643,37.60164103
신사지구대,126.9053524,37.59177275
미아지구대,127.0282816,37.62015605
솔샘지구대,127.0304231,37.61632092
문성지구대,126.9034426,37.46953058
백산지구대,126.9126116,37.45108499
망우지구대,127.0956556,37.59912763
중화지구대,127.0722049,37.59799824
용마지구대,127.0799276,37.58092847
봉화지구대,127.0955488,37.61478331
역삼지구대,127.0410199,37.5083531
당곡지구대,126.9314377,37.48830194
낙성대지구대,126.957633,37.47839323
신림지구대,126.9333366,37.48400342
관악산지구대,126.9352087,37.47383026
구암지구대,126.9449065,37.48716111
신사지구대,126.9053524,37.59177275
화곡지구대,126.8504182,37.55177934
공항지구대,126.808278,37.56237001
까치산지구대,126.8455496,37.5293427
가양지구대,126.850092,37.5592581
곰달래지구대,126.8631343,37.53289451
발산지구대,126.8260169,37.54940782
천호지구대,127.1207895,37.54258338
길동지구대,127.1456543,37.52533451
성내지구대,127.1269663,37.52842759
암사지구대,127.1407845,37.55499681
장위지구대,127.0537694,37.6194228
신구로지구대,126.8838761,37.50222676
오류지구대,126.8388359,37.49477845
구일지구대,126.8907258,37.48930566
고척지구대,126.858318,37.50659217
개봉지구대,126.8564552,37.49183145
반포지구대,127.0054514,37.50598144
목1지구대,126.8784667,37.53512594
목2지구대,126.8623876,37.54460483
신정1지구대,126.8607852,37.52029757
신정2지구대,126.8635469,37.52442017
신월2지구대,126.8344051,37.52053022
방이지구대,127.1257592,37.51024305
잠실지구대,127.0821389,37.51209065
삼전지구대,127.0927492,37.5026745
가락지구대,127.1253319,37.49820608
문정지구대,127.1269944,37.47820194
당현지구대,127.0683816,37.64201196
월계지구대,127.0593196,37.63367375
화랑지구대,127.0746391,37.62253607
노원역지구대,127.0669429,37.65502299
불암지구대,127.077357,37.65243981
마들지구대,127.0636284,37.66457523
남태령지구대,126.9821367,37.47950862
불광지구대,126.9265989,37.62142322
연신내지구대,126.9127143,37.61521858
창동지구대,127.0517782,37.65228082
도곡지구대,127.0437077,37.50134591
대치지구대,127.0626202,37.49486097
일원지구대,127.0833748,37.49241543
개포지구대,127.0511841,37.4797764
논현1파출소,127.0292956,37.51389596
논현2파출소,127.0338523,37.51521381
삼성1파출소,127.0605455,37.51490762
삼성2파출소,127.0433046,37.51233923
청담파출소,127.0542845,37.52081403
신사파출소,127.0241393,37.51842377
압구정파출소,127.0356824,37.52931126
수서파출소,127.1048189,37.48914031
대왕파출소,127.1073265,37.46518202
둔촌파출소,127.1359318,37.52577768
명일파출소,127.1560984,37.55361705
강일파출소,127.1732109,37.56486104
고덕파출소,127.1517512,37.55737447
상일파출소,127.1658459,37.55621305
수유1파출소,127.0175913,37.63069968
수유2파출소,127.0171042,37.64090972
수유3파출소,127.0266047,37.6443353
인수파출소,127.0124359,37.63948314
번동파출소,127.0325974,37.63599068
번3파출소,127.0481652,37.62363103
삼양파출소,126.5874902,33.52175867
방화3파출소,126.8146885,37.57981538
등촌2파출소,126.8618713,37.54478803
화곡3파출소,126.8340859,37.54102213
염창파출소,126.8715753,37.55551636
남현파출소,126.9778193,37.4746965
난우파출소,126.9192416,37.46110897
미성파출소,126.915617,37.47994116
중곡1파출소,127.0827615,37.56373554
중곡2파출소,127.081413,37.56019376
중곡3파출소,127.0801411,37.56881896
중곡4파출소,127.0873044,37.56532523
자양파출소,127.071609,37.53386933
자양1파출소,127.076925,37.53665548
자양4파출소,127.0636496,37.53518574
구의파출소,127.0916678,37.54589642
구로3파출소,126.8913673,37.48667891
가리봉파출소,126.892667,37.47920173
천왕파출소,126.8425634,37.48385246
금천파출소,126.8998411,37.45424282
가산파출소,126.8880622,37.47995791
독산파출소,126.8947541,37.46465049
당고개파출소,127.0758488,37.66701867
상계1파출소,127.0550712,37.67970157
신창파출소,127.0346356,37.64350791
방학파출소,127.0400267,37.66450631
신방학파출소,127.0271084,37.65848963
도봉1파출소,127.0434208,37.67945867
도봉2파출소,127.0493016,37.68400359
