정류장명,위도,경도
종로2가사거리,37.569808,126.987752
창경궁.서울대학교병원,37.579433,126.996522
명륜3가.성대입구,37.582581,126.998251
종로2가.삼일교,37.56857927,126.9876131
혜화동로터리.여운형활동터,37.586243,127.001744
서대문역사거리,37.566137,126.966893
서울역사박물관.경희궁앞,37.569135,126.97038
서울역사박물관.경희궁앞,37.569515,126.97076
광화문,37.570142,126.976357
광화문,37.57026794,126.9778895
종로1가,37.57014825,126.9810661
종로1가,37.570271,126.98163
종로2가,37.57017,126.984991
종로2가,37.570238,126.986536
종로3가.탑골공원,37.57025677,126.989269
종로3가.탑골공원,37.57036054,126.9899878
종로4가.종묘,37.570507,126.9947219
종로4가.종묘,37.570637,126.995396
종로5가.광장시장,37.570787,126.999061
종로5가.광장시장,37.570931,126.999606
종로6가.동대문종합시장,37.57101,127.004464
종로6가.동대문종합시장,37.57112723,127.0057137
동대문역.흥인지문,37.572449,127.013813
동대문(흥인지문),37.572102,127.012453
동묘앞,37.57385218,127.0185893
동묘앞,37.57428153,127.0195286
경기상고,37.58755022,126.9693635
신교동,37.58329552,126.9702627
경기상고,37.58719079,126.9697701
경복고교,37.58516,126.970884
청운중학교,37.587809,126.972673
자하문고개.윤동주문학관,37.59218662,126.9671262
자하문고개.윤동주문학관,37.59233532,126.9671907
청운중학교,37.588421,126.972266
경복고교,37.585067,126.971404
통인시장종로구보건소,37.5803257,126.97105
통인시장종로구보건소,37.58051321,126.9713851
효자동,37.58309104,126.970621
사직단.어린이도서관,37.57513553,126.9679907
경복궁역1번출구,37.576162,126.971415
경복궁역,37.577038,126.972198
경복궁역,37.57767139,126.9722829
경복궁,37.57557679,126.9787471
KT광화문지사,37.57220974,126.9774187
국립고궁박물관,37.578928,126.973979
광화문,37.570045,126.976408
서울역사박물관.경교장.강북삼성병원,37.570023,126.971248
광화문.금호아시아나본관앞,37.570332,126.972839
광화문,37.570365,126.975837
세종문화회관,37.573648,126.976997
서울경찰청.경복궁역,37.57574466,126.9714843
사직단,37.57485535,126.968189
광화문.광화문빌딩,37.569495,126.976545
덕성여중고,37.575768,126.981972
