id,type,code,name,latitude,longitude
25709,subway,S1701TRSU1,03호선 가락시장역,37.4930418,127.118046
25710,subway,S1701TRSU2,08호선 가락시장역,37.4930418,127.118046
25711,subway,S1701TRSU3,05호선 개롱역,37.4999389,127.131129
25712,subway,S1701TRSU4,03호선 경찰병원역,37.5007812,127.127014
25713,subway,S1701TRSU5,08호선 송파역,37.4997779,127.112232
25714,subway,S0701TRSU6,01호선 가산디지털단지역,37.4818041,126.882476
25715,subway,S0701TRSU7,07호선 가산디지털단지역,37.4817048,126.882239
25716,subway,S0701TRSU8,01호선 독산역,37.4661244,126.889419
25717,subway,S0401TRSU9,09호선 가양역,37.5619422,126.8536
25718,subway,S0401TRSU10,09호선 양천향교역,37.5686739,126.840774
25719,subway,S2001TRSU11,01호선 남영역,37.5416053,126.971216
25720,subway,S2001TRSU12,04호선 숙대입구(갈월)역,37.5455519,126.971916
25721,subway,S2101TRSU13,03호선 연신내역,37.6189135,126.920837
25722,subway,S2101TRSU14,06호선 연신내역,37.6189135,126.920837
25723,subway,S0602TRSU15,01호선 개봉역,37.4954765,126.854218
25724,subway,S0101TRSU16,수인분당선 개포동역,37.4893596,127.067802
25725,subway,S0101TRSU17,수인분당선 구룡역,37.487166,127.058618
25726,subway,S0402TRSU18,09호선 개화역,37.5793356,126.79618
25727,subway,S1702TRSU19,05호선 거여역,37.4942321,127.142009
25728,subway,S0202TRSU20,05호선 고덕역,37.5556113,127.153838
25729,subway,S1206TRSU21,경의선 공덕역,37.542842,126.951493
25730,subway,S1201TRSU22,05호선 공덕역,37.5445358,126.951232
25731,subway,S1201TRSU23,06호선 공덕역,37.5434999,126.951945
25732,subway,S1206TRSU24,공항철도 공덕역,37.542842,126.951493
25733,subway,S0801TRSU25,07호선 공릉역,37.6257037,127.072896
25734,subway,S0801TRSU26,06호선 태릉입구역,37.6191252,127.07511
25735,subway,S0801TRSU27,07호선 태릉입구역,37.6191252,127.07511
25736,subway,S0801TRSU28,06호선 화랑대(서울여대입구)역,37.6198766,127.083266
25737,subway,S0403TRSU29,09호선 공항시장역,37.5635834,126.810564
25738,subway,S0403TRSU30,05호선 송정역,37.5614569,126.81049
25739,subway,S2501TRSU31,05호선 광나루역,37.545151,127.103484
25740,subway,S0604TRSU32,01호선 구로역,37.5026981,126.882284
25741,subway,S0604TRSU33,02호선 구로디지털단지역,37.4853443,126.901058
25742,subway,S0604TRSU34,01호선 구일역,37.496631,126.870545
25743,subway,S0604TRSU35,07호선 남구로역,37.4849167,126.88662
25744,subway,S0604TRSU36,02호선 대림(구로구청)역,37.4934118,126.894783
25745,subway,S1908TRSU37,07호선 대림(구로구청)역,37.492882,126.896842
25746,subway,S2102TRSU38,06호선 구산역,37.6111986,126.917165
25747,subway,S2502TRSU39,02호선 강변역,37.5353646,127.094521
25748,subway,S2502TRSU40,02호선 구의(광진구청)역,37.5380892,127.089874
25749,subway,S1502TRSU41,05호선 신금호역,37.554555,127.019739
25750,subway,S1504TRSU42,03호선 금호역,37.5480954,127.015879
25751,subway,S0203TRSU43,05호선 길동역,37.5377977,127.139975
25752,subway,S1601TRSU44,04호선 길음역,37.6031895,127.024813
25753,subway,S1301TRSU45,경의선 가좌역,37.5688237,126.915118
25754,subway,S2005TRSU46,경의선 서울역,37.5530934,126.972785
25755,subway,S2005TRSU47,공항철도 서울역,37.553453,126.969593
25756,subway,S2307TRSU48,01호선 서울역,37.5568865,126.972534
25757,subway,S1203TRSU49,경의선 서강대역,37.5522945,126.935236
25758,subway,S1203TRSU50,02호선 신촌(지하)역,37.5545393,126.937656
25759,subway,S1101TRSU51,01호선 노량진역,37.5139431,126.942893
25760,subway,S1101TRSU52,09호선 노량진역,37.5135455,126.940473
25761,subway,S2103TRSU53,03호선 녹번역,37.6010111,126.935555
25762,subway,S2103TRSU54,06호선 역촌역,37.6060489,126.922969
25763,subway,S0102TRSU55,07호선 논현역,37.509685,127.022126
25764,subway,S0102TRSU56,09호선 언주역,37.5074838,127.034238
25765,subway,S0102TRSU57,07호선 학동역,37.5156733,127.036267
25766,subway,S2504TRSU58,05호선 군자(능동)역,37.5567103,127.080514
25767,subway,S2504TRSU59,07호선 군자(능동)역,37.5567103,127.080514
25768,subway,S2504TRSU60,05호선 아차산(어린이대공원후문)역,37.5550768,127.084474
25769,subway,S1907TRSU61,02호선 당산역,37.5350809,126.902836
25770,subway,S1907TRSU62,09호선 당산역,37.5340082,126.902181
25771,subway,S1904TRSU63,05호선 영등포구청역,37.5242891,126.89492
25772,subway,S1904TRSU64,02호선 영등포구청역,37.5246608,126.89751
25773,subway,S1102TRSU65,07호선 보라매역,37.4998837,126.920999
25774,subway,S1102TRSU66,신림선 보라매역,37.5013432,126.920918
25775,subway,S1102TRSU67,신림선 서울지방병무청역,37.5052456,126.922509
25776,subway,S1102TRSU68,07호선 신대방삼거리역,37.4997438,126.927558
25777,subway,S2104TRSU69,06호선 불광역,37.6105218,126.929272
25778,subway,S2104TRSU70,03호선 불광역,37.6105218,126.929272
25779,subway,S0103TRSU71,03호선 대치역,37.4944438,127.063079
25780,subway,S0103TRSU72,03호선 학여울역,37.4968623,127.072309
25781,subway,S0103TRSU73,수인분당선 한티역,37.501045,127.050679
25782,subway,S1205TRSU74,06호선 대흥역,37.5476402,126.942505
25783,subway,S0104TRSU75,03호선 도곡역,37.4908437,127.05515
25784,subway,S0104TRSU76,수인분당선 도곡역,37.4905464,127.055093
25785,subway,S0104TRSU77,03호선 매봉역,37.4867659,127.046147
25786,subway,S0901TRSU78,01호선 도봉역,37.6757937,127.044968
25787,subway,S0901TRSU79,01호선 도봉산역,37.689452,127.046189
25788,subway,S0901TRSU80,07호선 도봉산역,37.6890193,127.046642
25789,subway,S1206TRSU81,05호선 마포역,37.5395599,126.945895
25790,subway,S1207TRSU82,경의선 홍대입구역,37.5568735,126.923654
25791,subway,S1207TRSU83,02호선 홍대입구역,37.5559044,126.929982
25792,subway,S1207TRSU84,공항철도 홍대입구역,37.5559044,126.929982
25793,subway,S1603TRSU85,우이신설경전철 성신여대입구역,37.5924241,127.016533
25794,subway,S1606TRSU86,04호선 성신여대입구(돈암)역,37.5930818,127.016759
25795,subway,S2005TRSU87,04호선 서울(4호선)역,37.5530934,126.972785
25796,subway,S1103TRSU88,04호선 동작(현충원)역,37.5028463,126.979963
25797,subway,S1103TRSU89,09호선 동작(현충원)역,37.5031433,126.978232
25798,subway,S0204TRSU90,05호선 둔촌동역,37.5281162,127.136348
25799,subway,S0204TRSU91,09호선 둔촌오륜역,37.517937,127.142291
25800,subway,S0204TRSU92,09호선 중앙보훈병원역,37.5283362,127.148329
25801,subway,S0406TRSU93,09호선 등촌역,37.5511798,126.864734
25802,subway,S0406TRSU94,09호선 증미역,37.557528,126.861565
25803,subway,S0407TRSU95,05호선 마곡역,37.5602098,126.825479
25804,subway,S0407TRSU96,09호선 마곡나루역,37.5666453,126.827093
25805,subway,S0407TRSU97,공항철도 마곡나루역,37.5653396,126.827606
25806,subway,S0407TRSU98,05호선 발산역,37.5590105,126.837286
25807,subway,S1506TRSU99,05호선 마장역,37.5655419,127.040885
25808,subway,S1703TRSU100,05호선 마천역,37.4944091,127.151938
25809,subway,S1209TRSU101,06호선 망원역,37.5560348,126.910018
25810,subway,S2402TRSU102,07호선 면목역,37.5892042,127.087331
25811,subway,S2402TRSU103,07호선 사가정역,37.5809609,127.08637
25812,subway,S2402TRSU104,07호선 용마산역,37.5740138,127.087042
25813,subway,S2226TRSU105,04호선 혜화역,37.5819285,127.001824
25814,subway,S0205TRSU106,05호선 굽은다리(강동구민회관앞)역,37.546038,127.143148
25815,subway,S0205TRSU107,05호선 명일역,37.5512448,127.143983
25816,subway,S1801TRSU108,05호선 목동역,37.5259537,126.866274
25817,subway,S1801TRSU109,09호선 신목동역,37.544595,126.882818
25818,subway,S1801TRSU110,05호선 오목교(목동운동장앞)역,37.5248437,126.872769
25819,subway,S2403TRSU111,07호선 먹골역,37.6108525,127.077695
25820,subway,S1912TRSU112,02호선 문래역,37.518748,126.894928
25821,subway,S1704TRSU113,08호선 문정역,37.4863793,127.122151
25822,subway,S0301TRSU114,04호선 미아(서울사이버대학)역,37.6294351,127.024719
25823,subway,S0301TRSU115,04호선 미아사거리역,37.6149732,127.030015
25824,subway,S0301TRSU116,우이신설경전철 삼양역,37.6274541,127.01808
25825,subway,S0301TRSU117,우이신설경전철 삼양사거리역,37.622165,127.020107
25826,subway,S0301TRSU118,우이신설경전철 솔샘역,37.6202469,127.013016
25827,subway,S1402TRSU119,03호선 고속터미널역,37.5049926,127.004821
25828,subway,S1402TRSU120,07호선 고속터미널역,37.5049926,127.004821
